age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,capital_gain__log,capital_gain__bin,age__x__fnlwgt,age__x__education_num,age__div__education_num,age__x__capital_gain,age__div__capital_gain,age__x__capital_loss,age__div__capital_loss,age__x__hours_per_week,age__minus__hours_per_week,age__div__hours_per_week,fnlwgt__x__education_num,fnlwgt__div__education_num,fnlwgt__x__capital_gain,fnlwgt__div__capital_gain,fnlwgt__x__capital_loss,fnlwgt__div__capital_loss,fnlwgt__x__hours_per_week,fnlwgt__div__hours_per_week,education_num__x__capital_gain,education_num__div__capital_gain,income
46,Federal-gov,89231,HS-grad,9,Married-civ-spouse,Tech-support,Wife,Amer-Indian-Eskimo,Female,0,2824,30,South,0.0,0,4104626,414,5.111111105432098,0,4600000000.0,129904,0.016288951841302093,1380,16,1.5333333328222223,803079,9914.555544539382,0,8923100000000.0,251988344,31.597379603287546,2676930,2974.366665675211,0,900000000.0,0
25,Without-pay,108121,12th,8,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,15024,0,25,Germany,9.617470759403409,1,2703025,200,3.1249999960937496,375600,0.0016640042598497977,0,2500000000.0,625,0,0.9999999996,864968,13515.124983106092,1624409904,7.196552183168799,0,10812100000000.0,2703025,4324.839998270064,120192,0.0005324813631519352,0
46,Self-emp-not-inc,275803,HS-grad,9,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,0.0,0,12686938,414,5.111111105432098,0,4600000000.0,0,4600000000.0,1840,6,1.1499999997124999,2482227,30644.77774372802,0,27580300000000.0,0,27580300000000.0,11032120,6895.074998276231,0,900000000.0,1
37,Local-gov,273976,Doctorate,16,Never-married,Adm-clerical,Other-relative,Other,Male,0,2824,55,United-States,0.0,0,10137112,592,2.3124999985546872,0,3700000000.0,104488,0.013101983002786467,2035,-18,0.6727272726049587,4383616,17123.499989297812,0,27397600000000.0,773708224,97.01699716679526,15068680,4981.381817276112,0,1600000000.0,0
45,Without-pay,60876,Some-college,10,Married-spouse-absent,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Female,0,1902,50,Germany,0.0,0,2739420,450,4.4999999955,0,4500000000.0,85590,0.02365930599356646,2250,-5,0.89999999982,608760,6087.599993912399,0,6087600000000.0,115786152,32.00630914809671,3043800,1217.519999756496,0,1000000000.0,0
26,Self-emp-inc,123285,Some-college,10,Married-spouse-absent,Protective-serv,Unmarried,Black,Female,0,2042,45,South,0.0,0,3205410,260,2.5999999974,0,2600000000.0,53092,0.01273261508318936,1170,-19,0.5777777776493827,1232850,12328.4999876715,0,12328500000000.0,251747970,60.37463271273079,5547825,2739.6666660578517,0,1000000000.0,0
28,Self-emp-not-inc,382911,1st-4th,2,Never-married,Sales,Own-child,Black,Female,99999,0,50,Puerto-Rico,11.512925464970229,1,10721508,56,13.999999930000001,2799972,0.00028000280002797226,0,2800000000.0,1400,-22,0.559999999888,765822,191455.4990427225,38290717089,3.829148291482532,0,38291100000000.0,19145550,7658.219998468356,199998,2.000020000199802e-05,0
20,Local-gov,361468,5th-6th,3,Married-civ-spouse,Armed-Forces,Wife,Other,Female,99999,0,50,China,11.512925464970229,1,7229360,60,6.666666644444445,1999980,0.0002000020000199802,0,2000000000.0,1000,-30,0.39999999992,1084404,120489.33293170223,36146438532,3.6147161471611104,0,36146800000000.0,18073400,7229.359998554128,299997,3.000030000299703e-05,0
36,State-gov,393961,10th,6,Never-married,Prof-specialty,Other-relative,Other,Male,0,0,38,Jamaica,0.0,0,14182596,216,5.99999999,0,3600000000.0,0,3600000000.0,1368,-2,0.9473684208033241,2363766,65660.16655723305,0,39396100000000.0,0,39396100000000.0,14970518,10367.394734113843,0,600000000.0,1
64,Without-pay,199384,Assoc-acdm,12,Separated,Handlers-cleaners,Other-relative,Other,Male,0,0,50,India,0.0,0,12760576,768,5.333333328888888,0,6400000000.0,0,6400000000.0,3200,14,1.279999999744,2392608,16615.33331948722,0,19938400000000.0,0,19938400000000.0,9969200,3987.679999202464,0,1200000000.0,0
